route,gewicht,ldm,ax_erloese_fracht,dlv_soll,delta
0617,3672.0000,9.2000,2726.4000,2770.1135,-43.7135
6011,166.0000,0.4000,79.0000,81.4768,-2.4768
0617,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
0617,6000.0000,13.6000,3505.0000,3569.6200,-64.6200
6011,6950.0000,13.6000,920.0000,1015.4300,-95.4300
4601,5778.3300,12.0000,1300.0000,1351.1676,-51.1676
2321,3584.5000,13.6000,960.0000,1137.7600,-177.7600
6011,5988.0000,13.6000,1175.0000,1015.4300,159.5700
4601,4289.0000,3.2000,620.0000,633.6447,-13.6447
6011,8206.1400,13.2000,1110.0000,,
6011,7003.0000,13.6000,1295.0000,1015.4300,279.5700
1403,8000.0000,13.6000,2380.0000,,
2321,10000.0000,13.6000,960.0000,1137.7600,-177.7600
6011,2211.0000,6.4000,477.0000,,
CHN,77.0000,0.4000,139.0000,,
CHN,141.0000,0.4000,174.0000,175.1106,-1.1106
0617,8000.0000,13.6000,3375.0000,3439.6200,-64.6200
2321,218.0000,0.8000,313.0000,315.2212,-2.2212
CHN,68.0000,0.4000,174.0000,175.1106,-1.1106
0617,8000.0000,13.6000,3375.0000,3439.6200,-64.6200
0617,8000.0000,13.6000,3375.0000,3439.6200,-64.6200
0617,8000.0000,13.6000,3505.0000,3569.6200,-64.6200
2321,10000.0000,13.6000,1100.0000,1137.7600,-37.7600
6011,8102.0000,13.6000,920.0000,1015.4300,-95.4300
0617,8000.0000,13.6000,3375.0000,3439.6200,-64.6200
2321,10000.0000,13.6000,1100.0000,1137.7600,-37.7600
6011,7586.0000,13.6000,920.0000,1015.4300,-95.4300
6011,2517.0000,6.8000,795.0000,,
2321,170.5000,0.4000,174.0000,175.1106,-1.1106
6011,1578.5000,1.6000,0.0000,,
1069,73.5000,0.4000,139.0000,,
6011,2351.0000,2.0000,415.0000,,
6011,1148.0000,6.4000,477.0000,,
0617,6000.0000,8.0000,2510.5000,2548.5118,-38.0118
1403,6000.0000,13.6000,2380.0000,,
7300,260.0000,1.2000,0.0000,,
0273,206.0000,0.4000,150.0000,150.0000,0.0000
0273,912.6200,0.0000,0.0000,,
